,Buisness_name,link,Address,phone number,Website,type,other_links
10,Greens Veg Restaurant,https://www.google.com/maps/place/Greens+Veg+Restaurant/data=!4m7!3m6!1s0x3be7b0d1caecfa7d:0xffdfe0b9263a8caf!8m2!3d19.2301037!4d72.8620196!16s%2Fg%2F1tjf8qs_!19sChIJffrsytGw5zsRr4w6Jrng3_8?authuser=0&hl=en&rclk=1,"Apartment, Shop No. 8, Amita, 5, Kasthurba Rd, Borivali East, Mumbai, Maharashtra 400066",099874 07664,,Restaurants,
11,Grand Maratha Family Restaurant and Bar,https://www.google.com/maps/place/Grand+Maratha+Family+Restaurant+and+Bar/data=!4m7!3m6!1s0x3be7b0c550d66fed:0xfba2f744c2410f2a!8m2!3d19.2334732!4d72.863802!16s%2Fg%2F1hjhfp8wj!19sChIJ7W_WUMWw5zsRKg9BwkT3ovs?authuser=0&hl=en&rclk=1,"SHANTHI DWAR CHS-D, Shantivan, Nensey Colony, Borivali, Mumbai, Maharashtra 400066",075586 75536,,Restaurants,
12,Asha Restaurant & Bar,https://www.google.com/maps/place/Asha+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3be7b0d117521fdb:0x969c49fb815912a4!8m2!3d19.2291612!4d72.8592728!16s%2Fg%2F1pp2vgz8s!19sChIJ2x9SF9Gw5zsRpBJZgftJnJY?authuser=0&hl=en&rclk=1,"Kasturba Cross Road Number 7, Chinchpada, Borivali, Mumbai, Maharashtra 400066",077382 76230,,Restaurants,"https://www.swiggy.com/restaurants/asha-restaurant-chaitanya-restaurant-dahisar-dahisar-east-mumbai-422987?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
13,"Flavours Of China, Borivali","https://www.google.com/maps/place/Flavours+Of+China,+Borivali/data=!4m7!3m6!1s0x3be7b1bb9be1001d:0xd14b6049a128e3e5!8m2!3d19.2312538!4d72.8610213!16s%2Fg%2F11h6nsl9mt!19sChIJHQDhm7ux5zsR5eMooUlgS9E?authuser=0&hl=en&rclk=1","Mahatma Gandhi Rd, Sukarwadi, Borivali, Mumbai, Maharashtra 400066",099879 58099,focflavoursofchina.com,Restaurants,"https://instagram.com/flavoursofchina_mumbai?igshid=MzRlODBiNWFlZA==,https://drive.google.com/file/d/1cfq0XqT4nRVrM5H4YZtcG3VTBZkj0Ekp/view?usp=share_link,https://focflavoursofchina.com/,"
14,Bombay Quarter,https://www.google.com/maps/place/Bombay+Quarter/data=!4m7!3m6!1s0x3be7b17121d50b17:0x5b5b1646199423b7!8m2!3d19.229631!4d72.8608394!16s%2Fg%2F11qq3582_t!19sChIJFwvVIXGx5zsRtyOUGUYWW1s?authuser=0&hl=en&rclk=1,"Shop No. 3&4, Sardar Building, Carter Rd Number 4, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",099675 53996,,Restaurants,"https://www.dineout.co.in/mumbai/bombay-quarter-borivali-east-north-western-118351,https://www.swiggy.com/restaurants/bombay-quarter-dahisar-malad-kan-east-mumbai-350448?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
15,Hotel Sai Residency,https://www.google.com/maps/place/Hotel+Sai+Residency/data=!4m10!3m9!1s0x3be7a8cd565d1fed:0x98997b33f721bc68!5m2!4m1!1i2!8m2!3d19.40619!4d72.863508!16s%2Fg%2F11bwcbl29_!19sChIJ7R9dVs2o5zsRaLwh9zN7mZg?authuser=0&hl=en&rclk=1,"Prime House Building, Sativali Rd, above Modi Hyundai Showroom, Waliv Phata, Golani Naka, Vasai East, Waliv, Vasai-Virar, Maharashtra 401208",080877 70505,hotelsairesidency.net.in,Hotels,"http://www.hotelsairesidency.net.in/,"
16,J Hotel and Banquets,https://www.google.com/maps/place/J+Hotel+and+Banquets/data=!4m10!3m9!1s0x3be7b62c656451b7:0x288be3102e7b43f5!5m2!4m1!1i2!8m2!3d19.13481!4d72.847888!16s%2Fg%2F11stg4d3mn!19sChIJt1FkZSy25zsR9UN7LhDjiyg?authuser=0&hl=en&rclk=1,"&, BUS DEPOT, Jaiswal Chambers, Swami Vivekananda Rd, near Railway Station, Jogeshwari West, Mumbai, Maharashtra 400102",076780 63459,jhotelmumbai.com,Hotels,"https://jhotelmumbai.com/,"
17,Hotel Nice Stay,https://www.google.com/maps/place/Hotel+Nice+Stay/data=!4m10!3m9!1s0x3be7b13d4a991309:0x120136db2988a6a9!5m2!4m1!1i2!8m2!3d19.2279944!4d72.85786!16s%2Fg%2F11fm3m25nv!19sChIJCROZSj2x5zsRqaaIKds2ARI?authuser=0&hl=en&rclk=1,"First Floor, Paras Business Center, 1, Kasthurba Rd, behind kasthurba police Station, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",091078 67861,hotelnicestay.in,Hotels,"http://www.hotelnicestay.in/,"
18,Hotel Divine,https://www.google.com/maps/place/Hotel+Divine/data=!4m10!3m9!1s0x3be7b14537a23c63:0x5322f5e8d1bcced4!5m2!4m1!1i2!8m2!3d19.2284458!4d72.8548283!16s%2Fg%2F11fqbj752t!19sChIJYzyiN0Wx5zsR1M680ej1IlM?authuser=0&hl=en&rclk=1,"khot chawl, Lokmanya Tilak Rd, opp. Goyal Shopping Arcade, near Railway Station, Gyan Nagar, Mhatre Wadi, Borivali West, Mumbai, Maharashtra 400092",073041 10022,,Hotels,
19,Hotel Granville,https://www.google.com/maps/place/Hotel+Granville/data=!4m10!3m9!1s0x3be7b12b52af4e43:0xa2179fdf043851e9!5m2!4m1!1i2!8m2!3d19.2207434!4d72.8506932!16s%2Fg%2F11c5rmxfxp!19sChIJQ06vUiux5zsR6VE4BN-fF6I?authuser=0&hl=en&rclk=1,"Ground No 1, Plot 680/D, RM Bhattad Rd, opposite Kora Kendra, Dalvi Nagar, Borivali West, Mumbai, Maharashtra 400092",022 6154 2424,hotelgranville.in,Hotels,"http://www.hotelgranville.in/ContactUs.aspx,"
20,Hotel Honest (5 mins from Borivali Station),https://www.google.com/maps/place/Hotel+Honest+%285+mins+from+Borivali+Station%29/data=!4m10!3m9!1s0x3be7b1d58bb0e57b:0x2ac8ee50da04a848!5m2!4m1!1i2!8m2!3d19.2308062!4d72.8588176!16s%2Fg%2F11j2xpr7sx!19sChIJe-Wwi9Wx5zsRSKgE2lDuyCo?authuser=0&hl=en&rclk=1,"Shop No.6, Orchid Apartment WING-A, 104, Carter Rd No. 7, near Sanjog Restaurant, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",081081 02930,hotelhonestindia.com,Hotels,"http://hotelhonestindia.com/,https://business.google.com/create?fp=3082975975957637192&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
21,Hotel Borivali Executive,https://www.google.com/maps/place/Hotel+Borivali+Executive/data=!4m10!3m9!1s0x3be7b100ff435457:0x69ad1f86ca5e295b!5m2!4m1!1i2!8m2!3d19.2297891!4d72.8642635!16s%2Fg%2F11kjycrk7_!19sChIJV1RD_wCx5zsRWyleyoYfrWk?authuser=0&hl=en&rclk=1,"Shivam Building, B-Wing, 100 Meters, nr. National Park - Kanheri Caves Road, Chitrakoot, Kulupwadi, Borivali East, Mumbai, Maharashtra 400066",097696 94567,hotelborivaliexecutive.com,Hotels,"https://hotelborivaliexecutive.com/,"
22,Avirahi Hotel,https://www.google.com/maps/place/Avirahi+Hotel/data=!4m10!3m9!1s0x3be7b7686a810eb1:0xac05f65cf8088153!5m2!4m1!1i2!8m2!3d19.203356!4d72.8512324!16s%2Fg%2F11j0_dyjjj!19sChIJsQ6Bami35zsRU4EI-Fz2Baw?authuser=0&hl=en&rclk=1,"3rd Floor, Avirahi Arcade, Vasanji Lalji Rd, opp. Lata Hotel, near Railway Station, Kandivali West, Mumbai, Maharashtra 400067",090048 20120,avirahihotel.com,Hotels,"http://www.avirahihotel.com/,"
23,Hotel Samadhan Lodging Kandivali,https://www.google.com/maps/place/Hotel+Samadhan+Lodging+Kandivali/data=!4m10!3m9!1s0x3be7b79cec20b849:0xe25b81ba46d8c1df!5m2!4m1!1i2!8m2!3d19.2071414!4d72.8517677!16s%2Fg%2F11np4n1xsf!19sChIJSbgg7Jy35zsR38HYRrqBW-I?authuser=0&hl=en&rclk=1,"Sanghvi CHS, opp. Kandivali, Kandivali, Best Colony, Jethava Nagar, Kandivali West, Mumbai, Maharashtra 400067",085915 02620,samadhanlodging.com,Hotels,"http://www.samadhanlodging.com/,"
24,"FabHotel Spring Inn - Hotel in Kandivali, Mumbai","https://www.google.com/maps/place/FabHotel+Spring+Inn+-+Hotel+in+Kandivali,+Mumbai/data=!4m10!3m9!1s0x3be7b78fb9d233c9:0x4b947e42974af7f2!5m2!4m1!1i2!8m2!3d19.20195!4d72.850895!16s%2Fg%2F11g0l5y9h3!19sChIJyTPSuY-35zsR8vdKl0J-lEs?authuser=0&hl=en&rclk=1","#60 Akanksha Arcade Trikamdas Road, next to Cinestar Cinema, Kandivali West, Mumbai, Maharashtra 400067",070424 24242,fabhotels.com,Hotels,"https://www.fabhotels.com/hotels-in-mumbai/fabhotel-sprinng-inn.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,https://business.google.com/create?fp=5446116673868986354&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
25,Hotel Malad Inn,https://www.google.com/maps/place/Hotel+Malad+Inn/data=!4m10!3m9!1s0x3be7b6fcddd459f1:0x4580d5f34afd2258!5m2!4m1!1i2!8m2!3d19.1844037!4d72.8482023!16s%2Fg%2F11hf630k17!19sChIJ8VnU3fy25zsRWCL9SvPVgEU?authuser=0&hl=en&rclk=1,"5th Floor, Abrol Point, 2/3/4, Anand Road, Sta Rd, opp. Railway Station, near Ruia Hall, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064",097696 92340,hotelmaladinn.com,Hotels,"https://hotelmaladinn.com/,"
26,Hotel Nalanda,https://www.google.com/maps/place/Hotel+Nalanda/data=!4m10!3m9!1s0x3be7b720e4b01611:0xcc4024e54bdaca44!5m2!4m1!1i2!8m2!3d19.201442!4d72.85346!16s%2Fg%2F1vsppzl9!19sChIJERaw5CC35zsRRMraS-UkQMw?authuser=0&hl=en&rclk=1,"94, Durga Sadan Building, C.P.Road, Kandivali, Govind Dalvi Nagar, Kandivali East, Mumbai, Maharashtra 400101",022 2887 1486,,Hotels,
27,Hotel Shalimar,https://www.google.com/maps/place/Hotel+Shalimar/data=!4m10!3m9!1s0x3be7b6e22190c4f7:0x6b5f29206a393e3c!5m2!4m1!1i2!8m2!3d19.1890783!4d72.8498223!16s%2Fg%2F1tdlsrbk!19sChIJ98SQIeK25zsRPD45aiApX2s?authuser=0&hl=en&rclk=1,"73 A, Manchubhai Rd, near Subway, Malad, Malad East, Mumbai, Maharashtra 400097",093203 04094,hotelshalimar.net,Hotels,"http://hotelshalimar.net/,"
28,Hotel Cliffton,https://www.google.com/maps/place/Hotel+Cliffton/data=!4m10!3m9!1s0x3be7b7bbd4d37bed:0x532b4539cb518720!5m2!4m1!1i2!8m2!3d19.1364027!4d72.8481095!16s%2Fg%2F11h07wy_z1!19sChIJ7XvT1Lu35zsRIIdRyzlFK1M?authuser=0&hl=en&rclk=1,"Hotel cliffton, Swami Vivekananda Rd, near Railway station, Momin Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",022 2678 2255,hotelcliffton.com,Hotels,"https://hotelcliffton.com/,"
29,A1 Hotel,https://www.google.com/maps/place/A1+Hotel/data=!4m10!3m9!1s0x3be7b71d0f9a1bff:0x8e909ceb1ec07e7f!5m2!4m1!1i2!8m2!3d19.1881598!4d72.8500501!16s%2Fg%2F1tdlfrmy!19sChIJ_xuaDx235zsRf37AHuuckI4?authuser=0&hl=en&rclk=1,"3rd Floor, Jay Pragati Shopping Centre, Daftary Road, Malad, Malad East, Mumbai, Maharashtra 400097",098215 85378,,Hotels,
