,Buisness_name,link,Address,phone number,Website,type,other_links
40,"Nature Infromation Centre, Manpada","https://www.google.com/maps/place/Nature+Infromation+Centre,+Manpada/data=!4m7!3m6!1s0x3be7bbd926d15b03:0x8b84231af7b362a7!8m2!3d19.2342631!4d72.9627126!16s%2Fg%2F11c809sx2r!19sChIJA1vRJtm75zsRp2Kz9xojhIs?authuser=0&hl=en&rclk=1","6XM7+P34, Thane, Maharashtra 400610",,,Museums,"https://business.google.com/create?fp=10053198866929640103&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
41,Taxidermi Centre,https://www.google.com/maps/place/Taxidermi+Centre/data=!4m7!3m6!1s0x3be7b1004dc29893:0xa1d856b027b9ad5f!8m2!3d19.232779!4d72.8717923!16s%2Fg%2F11ld062l0j!19sChIJk5jCTQCx5zsRX625J7BW2KE?authuser=0&hl=en&rclk=1,"6VMC+4P7, Sanjay Gandhi National Park, Abhinav Nagar, Mumbai, Maharashtra 400066",,,Museums,"https://business.google.com/create?fp=11662166549656612191&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
42,Feellusion,https://www.google.com/maps/place/Feellusion/data=!4m7!3m6!1s0x3be7b622933fffff:0x28dc1b9e6716cc6b!8m2!3d19.1360545!4d72.8292998!16s%2Fg%2F11g8_0pcf2!19sChIJ__8_kyK25zsRa8wWZ54b3Cg?authuser=0&hl=en&rclk=1,"Laxmi Plaza, SAB TV Rd, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",099302 02335,,Museums,
43,B.E.S.T. Undertaking Museum.,https://www.google.com/maps/place/B.E.S.T.+Undertaking+Museum./data=!4m7!3m6!1s0x3be7c928a1b8eed1:0xf66589544e2e2184!8m2!3d19.046657!4d72.87781!16s%2Fg%2F11fcsqv0zm!19sChIJ0e64oSjJ5zsRhCEuTlSJZfY?authuser=0&hl=en&rclk=1,"Third Floor, Anik Bus Depot, Municipal Kamgar Vasahat, Sion East, Sion, Mumbai, Maharashtra 400022",022 2407 4336,bestundertaking.com,Museums,"https://www.bestundertaking.com/,"
44,Arvind,https://www.google.com/maps/place/Arvind/data=!4m7!3m6!1s0x3be7b77fbcefdd01:0x1ce6183fe9e60821!8m2!3d19.1814728!4d72.8461954!16s%2Fg%2F11vl0p6pkf!19sChIJAd3vvH-35zsRIQjm6T8Y5hw?authuser=0&hl=en&rclk=1,"5RJW+HFP, Malad, Nadiyawala Colony 1, Malad West, Mumbai, Maharashtra 400064",,,Museums,"https://business.google.com/create?fp=2082378540491606049&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
45,Jalaram Drug Corner,https://www.google.com/maps/place/Jalaram+Drug+Corner/data=!4m7!3m6!1s0x3be7b0d2066b848b:0xd33398927e475cf6!8m2!3d19.2244593!4d72.8669765!16s%2Fg%2F1tfr_jk3!19sChIJi4RrBtKw5zsR9lxHfpKYM9M?authuser=0&hl=en&rclk=1,"Chogale Chawl, Road, Devipada, Borivali East, Mumbai, Maharashtra 400066",022 2886 2472,,Pharmacies,"https://business.google.com/create?fp=15218675320766291190&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
46,Jalaram Chemist,https://www.google.com/maps/place/Jalaram+Chemist/data=!4m7!3m6!1s0x3be7b0d27f5de611:0x35b32c14e79a07b9!8m2!3d19.2247795!4d72.8655029!16s%2Fg%2F1v_z7cdg!19sChIJEeZdf9Kw5zsRuQea5xQsszU?authuser=0&hl=en&rclk=1,"Shop Number 13, S R A Co-operative Housing Society Number 1, Vithal Nagar Devi Pada Main Road, Borivali (E, Devipada, Borivali East, Mumbai, Maharashtra 400066",,,Pharmacies,"https://business.google.com/create?fp=3869484973137987513&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
47,Bhavik Medical Stores,https://www.google.com/maps/place/Bhavik+Medical+Stores/data=!4m7!3m6!1s0x3be7b0d26bc02903:0xd0b46b22d36c061d!8m2!3d19.2249825!4d72.8652315!16s%2Fg%2F1tlmls_r!19sChIJAynAa9Kw5zsRHQZs0yJrtNA?authuser=0&hl=en&rclk=1,"6VF8+X3X, Main Road, Devi Pada, Opposite Vitthal Temple, Borivali East, Borivali East, Mumbai, Maharashtra 400066",022 2886 1274,,Pharmacies,"https://business.google.com/create?fp=15038762853017060893&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
48,Meghraj Medical & General Store,https://www.google.com/maps/place/Meghraj+Medical+%26+General+Store/data=!4m7!3m6!1s0x3be7b0cda78c8b21:0x604fa20b9807f557!8m2!3d19.2247897!4d72.8654758!16s%2Fg%2F11pzryvv7g!19sChIJIYuMp82w5zsRV_UHmAuiT2A?authuser=0&hl=en&rclk=1,"1, Hanuman Chawl, Main Road, Western Express Hwy, Devipada, Borivali, Mumbai, Maharashtra 400066",090821 25101,,Pharmacies,"https://business.google.com/create?fp=6939943721480222039&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
49,Apollo Pharmacy Ivf Clinic Borivali,https://www.google.com/maps/place/Apollo+Pharmacy+Ivf+Clinic+Borivali/data=!4m7!3m6!1s0x3be7b118e71be785:0xc9e20f0509efb86d!8m2!3d19.2241915!4d72.8650123!16s%2Fg%2F11np3j2tzj!19sChIJhecb5xix5zsRbbjvCQUP4sk?authuser=0&hl=en&rclk=1,"SHOP NO 1, Bus Stop, near Devi Pada, Khande Rao Dongari, Borivali, Mumbai, Maharashtra 400066",072089 84970,apollopharmacy.in,Pharmacies,"https://www.apollopharmacy.in/medical-stores,"
50,Global Pharmacy,https://www.google.com/maps/place/Global+Pharmacy/data=!4m7!3m6!1s0x3be7b0c53a8209fd:0x9e5630621ed15efc!8m2!3d19.2352635!4d72.8641663!16s%2Fg%2F11g9dmxsvr!19sChIJ_QmCOsWw5zsR_F7RHmIwVp4?authuser=0&hl=en&rclk=1,"Shop no.10, chs, Gangadhar nagar co-op hsg soc, Shantivan, Nensey Colony, Borivali West, Mumbai, Maharashtra 400066",090820 78006,,Pharmacies,"https://business.google.com/create?fp=11409359903971696380&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
51,Noble Plus,https://www.google.com/maps/place/Noble+Plus/data=!4m7!3m6!1s0x3be7b1506a24e413:0x193d468f8726c739!8m2!3d19.2216919!4d72.8599251!16s%2Fg%2F11sbbblcdx!19sChIJE-QkalCx5zsROccmh49GPRk?authuser=0&hl=en&rclk=1,"2, Durga Devi Cooperative Housing Society Park Residency, Madhukunj Society, Dattapada, Borivali East, Mumbai, Maharashtra 400066",097697 65151,nobleplus.in,Pharmacies,"https://nobleplus.in/,"
52,Vijay Chemist,https://www.google.com/maps/place/Vijay+Chemist/data=!4m7!3m6!1s0x3be7b0d2066b848b:0x70f496d6035cba90!8m2!3d19.2240676!4d72.8674265!16s%2Fg%2F1w04hkq7!19sChIJi4RrBtKw5zsRkLpcA9aW9HA?authuser=0&hl=en&rclk=1,"Gora Kumbhar Rd, near Sadguru Nagar, Devipada, Borivali East, Mumbai, Maharashtra 400066",022 2884 3153,,Pharmacies,
53,Jagdishwar Medical & General Store,https://www.google.com/maps/place/Jagdishwar+Medical+%26+General+Store/data=!4m7!3m6!1s0x3be7b0cda9b60041:0x8d8df9a0485267df!8m2!3d19.224882!4d72.865787!16s%2Fg%2F11bvzlq3rk!19sChIJQQC2qc2w5zsR32dSSKD5jY0?authuser=0&hl=en&rclk=1,"Shop no.9, Bldg.No.08, Shree Sadguru Tower, Road, Devipada, Borivali East, Mumbai, Maharashtra 400066",098925 60554,,Pharmacies,
54,Gaurav pharma,https://www.google.com/maps/place/Gaurav+pharma/data=!4m7!3m6!1s0x3be7b0d26e590313:0x9ca967112131448a!8m2!3d19.2253554!4d72.8625101!16s%2Fg%2F11b6xdy_p7!19sChIJEwNZbtKw5zsRikQxIRFnqZw?authuser=0&hl=en&rclk=1,"Shop No.2, Bachubhai Jivabhai Rawal Chawl, Dattapada Rd, Khande Rao Dongari, Borivali, Mumbai, Maharashtra 400066",,,Pharmacies,"https://business.google.com/create?fp=11288667264249840778&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
55,Jalaram Drug House,https://www.google.com/maps/place/Jalaram+Drug+House/data=!4m7!3m6!1s0x3be7b73342ab7d8d:0x369f18b92a105f08!8m2!3d19.2208897!4d72.8683537!16s%2Fg%2F11c6rtr97s!19sChIJjX2rQjO35zsRCF8QKrkYnzY?authuser=0&hl=en&rclk=1,"12/884, Arundhati Niwas, Sai Mandir Road, Jai Maharashtra Nagar Road No. 2 Tata Power House, near Magathane Depot, Borivali East, Mumbai, Maharashtra 400066",098192 16978,jalaramdrughouse.business.site,Pharmacies,"http://jalaramdrughouse.business.site/,"
56,Metro Chemist,https://www.google.com/maps/place/Metro+Chemist/data=!4m7!3m6!1s0x3be7b0d4993ff1af:0xde9b7ef4c3adea84!8m2!3d19.2227903!4d72.8570567!16s%2Fg%2F11gdkzv_gv!19sChIJr_E_mdSw5zsRhOqtw_R-m94?authuser=0&hl=en&rclk=1,"Shop no.9, Gokul Mayur Pankh, Dattapada Road, Borivali East, Maharashtra 400066",091370 15661,,Pharmacies,
57,FLORA PHARMACY,https://www.google.com/maps/place/FLORA+PHARMACY/data=!4m7!3m6!1s0x3be7b70c231fd3b5:0xda57d4b8e7d1fbb2!8m2!3d19.2159163!4d72.8663704!16s%2Fg%2F11h64bfjnb!19sChIJtdMfIwy35zsRsvvR57jUV9o?authuser=0&hl=en&rclk=1,"SHOP NO.7, SAMARPAN, Western Express Hwy, near magathane metro station, near RIVALI PARK, Kandivali, Asha Nagar, Borivali East, Mumbai, Maharashtra 400066",086570 90405,,Pharmacies,
58,VEGA CHEMIST,https://www.google.com/maps/place/VEGA+CHEMIST/data=!4m7!3m6!1s0x3be7b1709968ff6b:0x262ce55716378faa!8m2!3d19.2233648!4d72.8687629!16s%2Fg%2F11kjyjhjl6!19sChIJa_9omXCx5zsRqo83FlflLCY?authuser=0&hl=en&rclk=1,"Shop No 1, Om Shivneri Chs, Vasant Kedar Chawl, Devipada, Borivali East, Mumbai, Maharashtra 400066",073405 09192,,Pharmacies,
59,SBI ATM,https://www.google.com/maps/place/SBI+ATM/data=!4m7!3m6!1s0x3be7b0ce3f8afd65:0x398bc7fee5ffd44b!8m2!3d19.2286485!4d72.8644698!16s%2Fg%2F11cn7wmk3l!19sChIJZf2KP86w5zsRS9T_5f7Hizk?authuser=0&hl=en&rclk=1,"204, Kulupwadi Rd, Chitrakoot, Kulupwadi, Borivali East, Mumbai, Maharashtra 400066",1800 11 2211,,ATMs,"https://business.google.com/create?fp=4146627779519042635&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
60,Bank of Baroda ATM,https://www.google.com/maps/place/Bank+of+Baroda+ATM/data=!4m7!3m6!1s0x3be7b0ce2ced14b5:0x906fb1e1a7fbfce3!8m2!3d19.230225!4d72.863832!16s%2Fg%2F11cn7k4z6y!19sChIJtRTtLM6w5zsR4_z7p-Gxb5A?authuser=0&hl=en&rclk=1,"Mangalam Apartment, near National Park, Chitrakoot, Kulupwadi, Borivali East, Mumbai, Maharashtra 400066",1800 258 4455,bankofbaroda.in,ATMs,"https://www.bankofbaroda.in/,"
61,HDFC Bank ATM,https://www.google.com/maps/place/HDFC+Bank+ATM/data=!4m7!3m6!1s0x3be7b7501bce42cd:0xaed6527e74ba8b2b!8m2!3d19.22122!4d72.86223!16s%2Fg%2F11fm60m14v!19sChIJzULOG1C35zsRK4u6dH5S1q4?authuser=0&hl=en&rclk=1,"Dhaval Court Building, Dattapada Rd, Borivali East, Mumbai, Maharashtra 400066",094267 92001,near-me.hdfcbank.com,ATMs,"https://near-me.hdfcbank.com/branch-atm-locator/hdfc-bank-atm-borivili-east-station-east-atm-borivali-east-mumbai-58417/Home?utm_source=locator&utm_medium=googleplaces,"
62,Andhra Bank ATM,https://www.google.com/maps/place/Andhra+Bank+ATM/data=!4m7!3m6!1s0x3be7b732b01fb1a9:0xbeadee38e643e407!8m2!3d19.221011!4d72.8641799!16s%2Fg%2F1ptx7jl5z!19sChIJqbEfsDK35zsRB-RD5jjurb4?authuser=0&hl=en&rclk=1,"Shop No-13, Country Park Building, Off. Western Express Highway, Dattapada Rd, Borivali East, Mumbai, Maharashtra 400066",022 2807 3542,,ATMs,"https://business.google.com/create?fp=13739899966326039559&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
63,Axis Bank ATM,https://www.google.com/maps/place/Axis+Bank+ATM/data=!4m7!3m6!1s0x3be7ce6e7c9fcdff:0x22fd8343bc30bd98!8m2!3d19.2242975!4d72.8613088!16s%2Fg%2F1ptwmflbr!19sChIJ_82ffG7O5zsRmL0wvEOD_SI?authuser=0&hl=en&rclk=1,"No 5, Raj Hills, Asara Colony, Borivali, Mumbai, Maharashtra 400066",1860 500 5555,branch.axisbank.com,ATMs,"https://branch.axisbank.com/axis-bank-asara-colony-atm-mumbai-maharashtra-46439/Home?utm_source=locator&utm_medium=googleplaces,"
64,State Bank Of India ATM,https://www.google.com/maps/place/State+Bank+Of+India+ATM/data=!4m7!3m6!1s0x3be7b0d03f8766f7:0x815120a4263aa6f!8m2!3d19.2314545!4d72.8618887!16s%2Fg%2F11c0rhfxv4!19sChIJ92aHP9Cw5zsRb6pjQgoSFQg?authuser=0&hl=en&rclk=1,"202, Mahatma Gandhi Road, Borivali East, Mumbai, Maharashtra 400066",1800 11 2211,,ATMs,"https://business.google.com/create?fp=582391562087148143&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
65,State Bank Of India ATM,https://www.google.com/maps/place/State+Bank+Of+India+ATM/data=!4m7!3m6!1s0x3be7b0d3807973b9:0xe9cbf4631ab6a3d7!8m2!3d19.2241426!4d72.8574741!16s%2Fg%2F11g6j91d32!19sChIJuXN5gNOw5zsR16O2GmP0y-k?authuser=0&hl=en&rclk=1,"286-B, Dattapada Rd, Dattapada, Borivali East, Mumbai, Maharashtra 400066",1800 11 2211,,ATMs,"https://business.google.com/create?fp=16846827537596589015&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
66,ICICI Bank,https://www.google.com/maps/place/ICICI+Bank/data=!4m7!3m6!1s0x3be7b0d22cd41475:0xd68c9076e5ca52e6!8m2!3d19.2266259!4d72.8604107!16s%2Fg%2F11cls76f89!19sChIJdRTULNKw5zsR5lLK5XaQjNY?authuser=0&hl=en&rclk=1,"Ravi Kiran Building, Carter Road No. 3, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",,,ATMs,"https://business.google.com/create?fp=15459890461191852774&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
67,Axis Bank ATM,https://www.google.com/maps/place/Axis+Bank+ATM/data=!4m7!3m6!1s0x3be7b0d03d226fc7:0x601f069efe787aec!8m2!3d19.2312025!4d72.8623187!16s%2Fg%2F1pp2vj40v!19sChIJx28iPdCw5zsR7Hp4_p4GH2A?authuser=0&hl=en&rclk=1,"Hari Om Plaza, behind Omkareshwar Mandir, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",1860 500 5555,branch.axisbank.com,ATMs,"https://branch.axisbank.com/axis-bank-hari-om-plaza-borivali-e-atm-mumbai-maharashtra-51225/Home?utm_source=locator&utm_medium=googleplaces,"
68,Kotak Mahindra Bank ATM,https://www.google.com/maps/place/Kotak+Mahindra+Bank+ATM/data=!4m7!3m6!1s0x3be7b150a2d05cb7:0x6be1405c6b5020cf!8m2!3d19.2281757!4d72.8634024!16s%2Fg%2F11sv1z9_xm!19sChIJt1zQolCx5zsRzyBQa1xA4Ws?authuser=0&hl=en&rclk=1,"Metro Station, Western Express Hwy, Devipada, Borivali East, Mumbai, Maharashtra 400066",1860 266 2666,kotak.com,ATMs,"https://www.kotak.com/en/home.html,"
69,Axis Bank ATM,https://www.google.com/maps/place/Axis+Bank+ATM/data=!4m7!3m6!1s0x3be7b74b2d81dcc3:0xc9beb4d49a089611!8m2!3d19.2213501!4d72.863967!16s%2Fg%2F11ssf1cnzn!19sChIJw9yBLUu35zsREZYImtS0vsk?authuser=0&hl=en&rclk=1,"No 15 to 18, Country Park Chs Ltd, Dattapada Rd, Food Corporation of India Warehouse, Borivali, Mumbai, Maharashtra 400066",1860 500 5555,branch.axisbank.com,ATMs,"https://branch.axisbank.com/axis-bank-atm-banks-borivali-mumbai-259211/Home?utm_source=locator&utm_medium=googleplaces,"
70,CANARA BANK ATM,https://www.google.com/maps/place/CANARA+BANK+ATM/data=!4m7!3m6!1s0x3be7b73415e29145:0xe45020c761d245b4!8m2!3d19.2177087!4d72.8705723!16s%2Fg%2F1hdyzq1nd!19sChIJRZHiFTS35zsRtEXSYccgUOQ?authuser=0&hl=en&rclk=1,"SHOP NO. 8, DHIRAJ SAVERA CHS LTD KHATAU MILL COMPOUND, OPPTO, Siddharth Nagar, Borivali, Mumbai, Maharashtra 400066",1800 425 0018,canarabank.com,ATMs,"https://www.canarabank.com/,"
71,Andhra Bank ATM,https://www.google.com/maps/place/Andhra+Bank+ATM/data=!4m7!3m6!1s0x3be7b0d032a1c1c5:0xe2e516f44cbc1952!8m2!3d19.2303192!4d72.8626028!16s%2Fg%2F11cjqdfrk_!19sChIJxcGhMtCw5zsRUhm8TPQW5eI?authuser=0&hl=en&rclk=1,"Shop No. N12, Sambhve Darsan Bldg, M. G. Street, Borivali East, Mumbai, Maharashtra 400066",1800 425 1515,,ATMs,"https://business.google.com/create?fp=16349499260753680722&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
72,UCO Bank ATM,https://www.google.com/maps/place/UCO+Bank+ATM/data=!4m7!3m6!1s0x3be7b1bb68d1e421:0x523777b833809d4f!8m2!3d19.229106!4d72.858903!16s%2Fg%2F11qjlbdgpv!19sChIJIeTRaLux5zsRT52AM7h3N1I?authuser=0&hl=en&rclk=1,"1st Floor, Dhanraj Shopping Centre, 7th, Carter Rd, Borivali, Mumbai, Maharashtra 400066",1800 103 0123,branch.ucobank.com,ATMs,"https://branch.ucobank.com/uco-bank-atm-borivli-i-east-atm-borivali-mumbai-96485/Home?utm_source=locator&utm_medium=googleplaces,"
73,State Bank Of India ATM,https://www.google.com/maps/place/State+Bank+Of+India+ATM/data=!4m7!3m6!1s0x3be7b0d7c1fdfa51:0xba59ed76e621284c!8m2!3d19.2307454!4d72.8540686!16s%2Fg%2F12nqgnlkh!19sChIJUfr9wdew5zsRTCgh5nbtWbo?authuser=0&hl=en&rclk=1,"22, Chandavarkar Rd, Maharashtra Nagar, Borivali West, Mumbai, Maharashtra 400092",1800 11 2211,,ATMs,
74,Saraswat Bank ATM,https://www.google.com/maps/place/Saraswat+Bank+ATM/data=!4m7!3m6!1s0x3be7b1f3412627e3:0x6613b83ff72c5753!8m2!3d19.2298251!4d72.8598378!16s%2Fg%2F11f5q7_sq1!19sChIJ4ycmQfOx5zsRU1cs9z-4E2Y?authuser=0&hl=en&rclk=1,"6VH5+WWP, Gruh Laxmi Niwas Co-Operative Housinf Society Limited Kasturba, Rd Number 8, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",,,ATMs,"https://business.google.com/create?fp=7355425201295480659&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
75,Bharat Bank ATM,https://www.google.com/maps/place/Bharat+Bank+ATM/data=!4m7!3m6!1s0x3be7b730e40d4a07:0x2dbd404f1d499656!8m2!3d19.2128525!4d72.8673488!16s%2Fg%2F11cn9gsn9l!19sChIJB0oN5DC35zsRVpZJHU9AvS0?authuser=0&hl=en&rclk=1,"6V78+4WX, Opp. V-Mall, Thakur Complex, Asha Nagar Nagar Road, Kandivali East, Mumbai, Maharashtra 400101",,,ATMs,"https://business.google.com/create?fp=3295861210843027030&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
76,Abhyudaya Bank ATM,https://www.google.com/maps/place/Abhyudaya+Bank+ATM/data=!4m7!3m6!1s0x3be7b0d3f5fd1253:0x4b9ea910bee7330e!8m2!3d19.225787!4d72.857494!16s%2Fg%2F1pp2x8qvz!19sChIJUxL99dOw5zsRDjPnvhCpnks?authuser=0&hl=en&rclk=1,"Ratandeep Apartments, Carter Road No.1,Borivali East, Mumbai, Maharashtra 400066",,,ATMs,"https://business.google.com/create?fp=5448978488552272654&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
